file,job_id,classes,samples,pca_dim,feature_depth,vqc_iterations,seed,native_best_accuracy,native_best_runtime_sec,quantum_kernel_accuracy,quantum_kernel_runtime_sec,quantum_kernel_required_speedup,qnn_vqc_accuracy,qnn_vqc_runtime_sec,qnn_vqc_required_speedup
data/raw/perlmutter/digits_expanded/digits_55422137_c4v9_256s_16p_d2_i2_seed11.json,55422137,"4,9",256,16,2,2,11,1.0,0.016830520995426923,0.90625,6.333201920991996,376.2926841488039,0.734375,2.755942885996774,163.746736464403
data/raw/perlmutter/digits_expanded/digits_55422137_c4v9_256s_8p_d1_i4_seed11.json,55422137,"4,9",256,8,1,4,11,1.0,0.016786476015113294,1.0,6.474354508973192,385.6887236573159,0.765625,1.0775427560147364,64.19112355950094
data/raw/perlmutter/digits_expanded/digits_55422137_c4v9_256s_8p_d3_i4_seed13.json,55422137,"4,9",256,8,3,4,13,0.984375,0.016185635002329946,0.875,6.362550977995852,393.09863203266065,0.890625,1.9592191300180275,121.04678807695807
data/raw/perlmutter/digits_expanded/digits_55422137_c5v8_128s_16p_d1_i2_seed13.json,55422137,"5,8",128,16,1,2,13,1.0,0.014205945015419275,0.8125,6.104930467001395,429.7447625184416,0.53125,0.8920418389898259,62.793558472991045
data/raw/perlmutter/digits_expanded/digits_55422137_c5v8_128s_8p_d2_i4_seed11.json,55422137,"5,8",128,8,2,4,11,0.9375,0.014308843994513154,0.8125,6.788152200984769,474.40255855663406,0.71875,0.7871822410088498,55.01368533409837
data/raw/perlmutter/digits_expanded/digits_55422137_c5v8_256s_16p_d2_i2_seed11.json,55422137,"5,8",256,16,2,2,11,0.96875,0.01706963498145342,0.78125,6.539742218999891,383.12138637442933,0.703125,2.647683818009682,155.11074612236618
data/raw/perlmutter/digits_expanded/digits_55422137_c5v8_256s_8p_d1_i4_seed11.json,55422137,"5,8",256,8,1,4,11,0.984375,0.016447631001938134,0.921875,6.3221575770003255,384.3810440698325,0.65625,1.0301453339925501,62.63183639462493
data/raw/perlmutter/digits_expanded/digits_55422137_c5v8_256s_8p_d3_i4_seed13.json,55422137,"5,8",256,8,3,4,13,0.984375,0.016331686987541616,0.734375,5.870186204992933,359.43538530164807,0.5625,1.9138694089779165,117.18749021077144
data/raw/perlmutter/digits_expanded/digits_55422138_c0v1_128s_12p_d2_i3_seed13.json,55422138,"0,1",128,12,2,3,13,1.0,0.014607774995965883,0.96875,6.178711184998974,422.97414813038273,0.84375,0.865120629008743,59.223299184691484
data/raw/perlmutter/digits_expanded/digits_55422138_c0v1_128s_4p_d1_i4_seed13.json,55422138,"0,1",128,4,1,4,13,1.0,0.014334696010337211,1.0,6.113839758996619,426.5064117570217,0.90625,0.3443001510022441,24.018657302112175
data/raw/perlmutter/digits_expanded/digits_55422138_c0v1_128s_4p_d3_i4_seed11.json,55422138,"0,1",128,4,3,4,11,1.0,0.014871666993713006,0.9375,8.757682027004194,588.8836826904812,0.84375,0.531446210006834,35.73548346876667
data/raw/perlmutter/digits_expanded/digits_55422138_c0v1_256s_12p_d1_i3_seed13.json,55422138,"0,1",256,12,1,3,13,1.0,0.016857410009833984,1.0,6.171668242997839,366.110110592168,0.78125,1.4398700570018264,85.41466667547742
data/raw/perlmutter/digits_expanded/digits_55422138_c0v1_256s_4p_d2_i4_seed11.json,55422138,"0,1",256,4,2,4,11,1.0,0.016190686001209542,0.921875,6.30252360200393,389.26847210384375,0.890625,0.8988435029896209,55.51608516911957
data/raw/perlmutter/digits_expanded/digits_55422138_c3v8_128s_12p_d2_i3_seed13.json,55422138,"3,8",128,12,2,3,13,1.0,0.014256964990636334,0.75,5.953489536012057,417.5846359952613,0.53125,0.8493324709997978,59.57316101692197
data/raw/perlmutter/digits_expanded/digits_55422138_c3v8_128s_4p_d1_i4_seed13.json,55422138,"3,8",128,4,1,4,13,0.96875,0.014224120997823775,0.75,6.206786441995064,436.35641477913987,0.59375,0.30726821499411017,21.601912346015673
data/raw/perlmutter/digits_expanded/digits_55422138_c3v8_128s_4p_d3_i4_seed11.json,55422138,"3,8",128,4,3,4,11,0.96875,0.014381626999238506,0.65625,5.948870016989531,413.6437426241494,0.71875,0.5481837469997117,38.11694928736071
data/raw/perlmutter/digits_expanded/digits_55422138_c3v8_256s_12p_d1_i3_seed13.json,55422138,"3,8",256,12,1,3,13,0.984375,0.016722305997973308,0.84375,5.754093949988601,344.09691765513554,0.75,1.4656378510117065,87.64567824493447
data/raw/perlmutter/digits_expanded/digits_55422138_c3v8_256s_4p_d2_i4_seed11.json,55422138,"3,8",256,4,2,4,11,0.921875,0.016679364009178244,0.8125,5.701699455996277,341.8415386137488,0.8125,0.8327650440041907,49.927865567652375
data/raw/perlmutter/digits_expanded/digits_55422138_c4v9_128s_12p_d2_i3_seed13.json,55422138,"4,9",128,12,2,3,13,1.0,0.014508462001685984,0.96875,5.481877195008565,377.83999395466816,0.84375,0.9060196959908353,62.447673356800294
